,,,,
Name,Effect,Prefix/Suffix,,
Poring,Bleed Resist +40%,Bleedproof_,,
Poporing,Poison Resist +40%,Poisonproof_,,Champions are in Green
Creamy,Increases learned level of Warp Portal by 1.,_of Warping,,
Vocal,Casting can't be interrupted.,Dauntless_,,
Creamy Fear,Removes the gemstone cost of Warp Portal,_of Freewarp,,
Spring Rabbit,Increases the learned level of High Jump by 1,_of Bounding,,
Dokebi,Blind Resist +40%,Eyedrop_,,
Bongun,"HP Regen +50%, SP Regen -50%",_of the Body,,
Munak,"SP Regen +50%, HP Regen -50%                             Combo with Bongun: HP/SP Regen +25%",_of the Mind,,
Drops,Burning Resist +40%,Burnproof_,,
Picky,Weight Limit +500,Courier's_,,
Sleeper,Sand Attack has a chance to inflict the Sleep status,_of Napping,,
Vitata,Restore 100 HP every 10 seconds                                Combo with 3 Ants: Double Combo Bonus,_of Renewal,,
Maya Purple,Slash may autocast Bloodbath. Envenom may autocast Toxic Burst. Sand Attack may autocast Blinding Pulse.        Combo with 3 Soldiers,_of Collapse,,
Goblin,"Crit +5, Crit Damage +5%",Vicious_,,
Chonchon,Sleep Resist +40%,Buzzing_,,
Kobold,"Hit +3%, ASPD +1",Raider's_,,
Orc Warrior,Vulnerable Resist +40%,Solid_,,
Flora,Slow Resistance +40%,Quick-Footed_,,
Mantis,Bleeding Damage +10%,Relentless_,,
Sidewinder,Poison Damage +10%,Venomous_,,
Aster,Frost Blast Cooldown -1s,Frigid_,,
Marin,Chill Resist +40%,_of Warmth,,
Wootan Shooter,Ranged Damage +5%. Ranged Damage Taken +5%,Shoot-out_,,
Wootan Fighter,Melee Damage +5%. Melee Damage Taken +5%,Reckless_,,
Black Pitaya,"Dex +1, Luk +1, Ranged Damage +3%, Crit Damage +3%",Targeting_,,
Medusa,Heaven's Drive has a high chance to autocast Quagmire,_of Liquid Earth,,
Fading Hope,"All Stats +1, Resistance Pierce +10",Purging_,,
Porcellio,"Str +5, All Other Stats -2",Strained_,,
