,,,,
Name,Effect,Prefix/Suffix,,
Pupa,Adds a chance to autocast Heal Lv 1 on self when taking damage.,Regenerating_,,
Thief Bug Egg,Adds a chance to autocast Endure Lv 4 when taking damage.,Indomitable_,,Champions are in Green
Spore,Adds a chance to autocast Decrease Agi on enemies when taking damage.,Drowsy_,,
Bigfoot,Hard Defense +30,Reinforced_,,
Peco Peco Egg,Adds a chance to autocast Guard when taking damage,Impenetrable_,,
Peco Peco,Max HP +10%,Robust_,,
Female Thief Bug,"Max HP +500, Move Speed -30%",Bulky_,,
Male Thief Bug,"Atk +30, Move Speed -30%",_of Crushing Weight,,
Cramp,Adds a chance to autocast Toxic Burst Lv 1 when taking damage.               Combo with Tarou: Autocasts Lv 5 instead.,Plaguebringer_,,
Ant Egg,Adds a chance to autocast Back Slide when taking damage,_of Escaping,,
Soldier Andre,"Vit +2, Dex +2                                   Combo with 3 Soldiers: All Stats +3, Atk/Matk +5%, Damage taken -5%",_of Tyr,,
Ambernite,"Max HP +150, Max SP +50",Resolute_,,
Taffy,Adds a high chance to inflict the Vulnerable status on enemies when taking damage,Puncturing_,,
Orc Hero,Adds a chance to cast Deafening Roar Lv 5 when taking physical damage,Deafening_,,
Orc Abomination,"Melee Damage Taken -10%, Max SP -25%",Abominable_,,
Bandit Plaguebearer,Poison damage taken -75%,_of Slow Poison,,
Anolian,Inflict Bleeding on enemies when taking damage. Bleed damage +10%. Bleed damage taken +10%.,Jagged_,,
Green Pitaya,"Vit +1, Max HP +5%",Firm_,,
Goat,"Chill Resist +50%, Burning Damage Taken +25%",Woolly_,,
Plateau Brute,HP Regen +1% per Base Vit,Animate_,,
Megalith,Physical and Magical Damage +15%. Disables movement.,Artillery_,,
Apocalypse,"Max HP +10%, Immune to Knockback",Unstoppable_,,
Ancient Administrator,"MDef -30, Autocasts Antimagic Field when taking magic damage",Nullifying_,,
Lava Toad,Chance to inflict Burning on enemy and self when taking damage,_of Wildfire,,
Lava Golem,Burning Damage Taken -75%,Lava Flow_,,
Lost Knight,"If learned, Devastating Blow and Brandish Spear level +1",Forgotten_,,
