,,,,
Name,Effect,Prefix/Suffix,,
Savage,Soft Defense +50,Resilient,,
Roda Frog,Sof Magic Defense +50,Resistant,,Champions are in Green
Boa,Reduce damage taken from Poison property attacks by 30%,_of Antivenom,,
Eggyra,Reduce damage taken from Ghost property attacks by 30%,Material_,,
Dragon Tail,Reduce damage taken from Wind property attacks by 30%,Windbreaker_,,
Zombie,Reduce damage taken from Undead property attacks by 30%,_of Undeath,,
Archer Skeleton,Reduces the cooldown of Arrow Shower by 2.5 seconds,_of Volleys,,
Sohee,Reduce damage taken from Dark property attacks by 30%,_of Sanctuary,,
Nine Tails,"Crit +10, Perfect Dodge +5",Charmed_,,
Magnolia,Reduce damage taken from Fire property attacks by 30%,Fireproof_,,
Frilldora,Reduces the cooldown of Hiding by 5 seconds,Cowardly_,,
Familiar,Flee +15,Shadowy_,,
Sewer Crocodile, +15% Damage to Water Property monsters. -15% Damage taken from Water property attacks.,_of Drought,,
Soldier Deniro,"Str +2, Int +2                                                     Combo with 3 Soldiers: All Stats +3, Atk/Matk +5%, Damage taken -5% ",_of Shiva,,
Goblin Steamrider,Hard Magic Defense +15,Shielded_,,
Panzer Goblin, +15% Damage to Fire Property monsters. -15% Damage taken from Fire property attacks.,_of the Torrent,,
Smokie,Reduce damage taken from Earth property attacks by 30%,_of the Sky,,
Dragon Fly, +15% Damage to Wind Property monsters. -15% Damage taken from Wind property attacks.,_of the Mountain,,
Zombie Master, +15% Damage to Undead Property monsters. -15% Damage taken from Undead property attacks.,_of True Life,,
Orc Baby,Flee +2 per Refine. Neutral Resist +2% per Refine,_of Perfection,,
Bandit Enforcer,Reduce damage taken from Neutral property attacks by 15%,Enforcer's_,,
Alligator,Reduce damage taken from Water property attacks by 30%,Waterproof_,,
Chimera, +15% Damage to Poison Property monsters. -15% Damage taken from Poison property attacks.,_of Pure Blood,,
Stone Shooter,Cloak of Flame has a high chance to inflict Burning,Searing_,,
Red Pitaya,"Str +1, Atk +5",Strong-Arm_,,
Hunter Fly,"Flee +20, Perfect Dodge +5",Evasive_,,
Goat Patriarch,"Agi, Vit, Luk +5.  Str, Int, Dex -5",Unorthodox_,,
Angeling,"Holy Resist +50%, Dark Resist -50%",Divine_,,
"BlackOps ""Shadow""",Add a chance of autocasting Cloaking Lv1 when taking damage,Undercover_,,
Dying Light,Holy Resistance +30%,Infernal_,,
Explosion,Enables use of Reposition Lv3. Reposition inflicts Burning on self.,_of Burning Escape,,
Ancient Mimic,(Merchant Only) Add a chance to gain an Extort stack when taking damage,_of Hoarding,,
Ash Hopper,"Flee +30, Hit -10",Smokey_,,
Ungoliant, +15% Damage to Earth Property monsters. -15% Damage taken from Earth Property attacks.,_of Erosion,,
Holden,Critical Hits gain 30% Defense Pierce,Guerrilla_,,
Whisper,Enables Spectral Veil Lv1,Ghostly_,,
Swordfish,"Cross Impact, Soaring Steel, and Rush Down have a high chance to inflict Vulnerable",_of Piercing,,
Sropho,Enables Soul Mirror Lv1,_of Shelter,,
Spark of Disaster,Fire and Dark Resistance +15%,Darkflame_,,
Toxious,"Earth Resist +15%, Bleeding Damage Taken -15%",Stoneguard_,,
Tomb Scorpion,Poison Status Damage Taken -30%,_of Antidote,,
Requiem,"Fire Resistance +15%, Burning Resistance +15%",Burnguard_,,
Pasana,Bleeding Damage Taken -30%,_of Steel Veins,,
Red Ferus,"Fire Resistance +15%, Burning Damage Dealt +10%",Ember_,,
Maintenance Drone,"Damage Taken from All Elements -10%. Max HP/SP -10%. If equipped with Command Drone Card, penalty removed, all stats +1",Ordered_,,
Sage Worm,"Fire, Water, Wind, Earth Resist +10%",Elemental_,,
Muscipular,"Crit Rate +15, Potion Effectiveness -50%",Famished_,,
Rockskin Toad,"Neutral Resist +10%, Vulnerable Resist +20%",Encrusted_,,
Veins Silencer,Silence and Atrophy Resistance +50%,Tenacious_,,
Assaulter,"Blind Potency +30, Chance to cast Blinding Fog when attacked",_of Smoke Bomb,,
Fond Memory,"Ghost Property Resistance +15%, Breach Resistance +15%",Soulguard_,,
Frost Colt,"Water Resist +15%, Chill Resist +15%",Frostguard_,,
Frus,"Holy and Dark Resist +20%, Damage Taken from Demon/Angel Race -5%",_of Disbelief,,
Valkyrie,Physical and Magical Damage to Holy Property enemies +15%. Holy Resist +15%,Sacred_,,
Isilla,"Neutral Resist +10%, Variable Cast Time -10%",Ephemeral_,,
Beholder,Sense inflicts Vulnerable and Breach. Sense Cooldown +5s. Fixed Cast Time -0.15s,Observant_,,
Ragged Zombie,Ranged Damage Taken -10%,Rotting_,,
Rekember Security,"If Str/Agi/Vit are higher than Dex/Int/Luk, Neutral Resist +10%. If not, Non-Neutral Resist +10%",High-Guard_,,
Shadow of Grief,"Matk +5%, Non-Neutral Resist +15%, Max HP -10%. ",_of Grief,,
Shadow of Scorn,"Atk +5%, Neutral Resist +10%, Max HP -10%",_of Scorn,,
Pinguicula,Healing Power +25%,_of Regrowth,,
Bradium Golem,Neutral Resist +20%. Atk/Matk -10%,Rock Hard_,,
Scaraba Hunter,"Enables Deadly Shadow Lv1. If already learned, reduce its Cooldown by 10s",Infiltrator_,,
Memory of Grace,Neutral Resistance +20%. Damage from Nightmares -5%,_of Grace,,
Shadow of Regret,Flee +50. Physical/Magical Damage to Nightmares +5%,_of Regret,,
Frostwind,Bleeding Damage +15%. Doubled if Icewind is equipped.,Raptor_,,
Rgan Abomination,Neutral/Poison Resist +15%. Exuvic Blessing +2,Moulting_,,
Death Word,"For each Refine: FCT -0.1s, Max HP -1%",Blighted_,,
Fallen Honor Guard,"For each Refine: Def Pierce +3%, Max HP -1%",Overbearing_,,
