,,,,
Name,Effect,Prefix/Suffix,Available Slots,
Wolf,"Str +1. If Str > 50, additional Str +1. If Str > 90, additional Str +1.",Strong_,Any,Champions are in Green
Condor,"Agi +1. If Agi > 50, additional Agi +1. If Agi > 90, additional Agi +1.",Agile_,Any,
Fabre,"Vit +1. If Vit > 50, additional Vit +1. If Vit > 90, additional Vit +1.",Vital_,Any,
Greatest General,"Dex +1. If Dex > 50, additional Dex +1. If Dex > 90, additional Dex +1.",Precise_,Any,
Thara Frog,"Int +1. If Int > 50, additional Int +1. If Int > 90, additional Int +1.",Wise_,Any,
Lunatic,"Luk +1. If Luk > 50, additional Luk +1. If Luk > 90, additional Luk +1.",Lucky_,Any,
,,,,
Tarou,Poison and Bleed Resist +20%,Plague Shield_,Any,
Corpse Worm,Bleed and Slow Resist +20%,Bandaged_,Any,
Horong,Burning and Curse Resist +20%,_of Blessed Water,Any,
Galapago,Burning and Chilled Resist +20%,Temperate_,Any,
Dustiness,Blind and Sleep Resist +20%,Alert_,Any,
Nereid,Chill and Slow Resist +20%,_of Persistence,Any,
Venatu,Sleep and Slow Resist +20%,_of Marathon,Any,
Ash Toad,Blind and Burning Resist +20%,Ash-proof,Any,
Punk,Poison and Blind Resist +20%,_of Clear Cure,Any,
,,,,
Tri Joint,All Stats +1,_of Ancient Power,Any,
Elemental Essence,"Fire, Water, Wind, Earth Resist +5% / Holy, Dark, Undead, Ghost Resist -5%",Natural_,Any,
Ancient Mummy,Max HP/SP +5%,_of Persistence,Any,
Time Larva,Slow Potency +5,Nagging_,Any,
Constant,"Bleeding, Burning, Poison, Slow, Blind, Vulnerable Resist +10%",Constant_,Any,
Celestial Essence,"Holy, Dark, Undead, Ghost Resist +5% / Fire, Water, Wind, Earth Resist -5%",Celestial_,Any,
,,,,
Plankton,"For each Plankton Card equipped: Hit +1, Flee +1, Soft Def +1, Soft MDef +1",Indivisible_,Any Except Weapon,
Matrix Nanounit,Summon HP +2%,Linked_,Any Except Weapon,
