,,,,
Name,Effect,Prefix/Suffix,,
Gullinbursti,Enables use of Lash Out Lv 5,Desperate_,,Champions are in Green
Leib Olmai,Adds a chance to autocast Bloodbath when taking physical damage.,_of Laceration,,
Muka,Reflects 10% of physical melee damage received,Thorned_,,
Steel Chonchon,"Hard Defense +20, Hard Magic Defense +5",Ironclad_,,
Ghoul,"Max HP +10%, Potion Effectiveness -10%",Lifeless_,,
Skeleton,Ranged physical damage received -15%,Hollow_,,
Orc Lady,Demihuman Resist +25%,Anti-Personnel_,,
Orc Zombie,Undead Race Resist +25%,Gravekeeper's_,,
Argos,Autocasts Rush Down when taking ranged hits,Charging_,,
Argiope,Insect Resist +25%,Bug-Catcher's_,,
Giant Spider,Autocasts Grimtooth when taking damage,Retaliating_,,
Anacondaq,Poison Damage Taken -30%,Detoxified_,,
Crab,Bleeding damage taken -30%,Clotting_,,
Fur Seal,Brute Resist +25%,Hunter's_,,
Parasite,Plant Resist +25%,Gardener's_,,
Wooden Golem,Physical damage taken -15%,_of Stonewall,,
Plateau Crawler,Formless Resist +25%,Concrete_,,
Plateau Colossus,Magic Damage Taken -15%,Sandstone_,,
Megalodon,Fish Resist +25%,Fisherman's_,,
Witch of the Deep,Autocasts Water Ball Lv3 when taking damage,_of Watery Retribution,,
Lingering Regret,Nightmare Resistance +15%,Intrepid_,,
Blazer,Burning Damage Received -30%,Flameguard_,,
Isis,Demon Resist +25%,Slayer's_,,
Earth Deleter,Dragon Resist +25%,Draconic_,,
Mutant Dragonoid,Physical/Magical Damage to Dragons +15%. Damage taken from Dragons -15%,Dragon Slayer's_,,
Marc,Enables use of Rush Down Lv1,Charging_,,
Marine Sphere,Damage received from Self Destruct -90%,Stabilized_,,
Alarm,"When recovering from Sleep, restores 20% of the user's Max HP",_of Waking,,
Clock,"When recovering from Slow, increases the user's Movement Speed for 5 seconds",_of Slow Reversal,,
Fledgling Tyranny,"Resistance to Formless, Dragon, and Demon Race +10%. For each Fledgling Ruin Card equipped, additional 5%",Iron Grip_,,
Deepfire Nightmare,"Resistance to Fire Monsters +10%. For each Smoldering Dread Card equipped, additional +5%",Magmatic_,,
Mineral,"Blind, Vulnerable, and Slow Resist +15%",Crystalline_,,
Anubis,"Medium Resist +15%, Large and Small Resist -5%",Practical_,,
Unworthy Soul,"Resistance to Insect, Undead, Angel Races +10%. Additional 5% for each Veil Piercer and Hand of Destiny Card equipped.",Unworthy_,,
Dragon Egg,Damage taken from Champions -20%,Heroic_,,
Violy,Ranged Physical damage received -25%,Precipitous_,,
Zombie Prisoner,Damage Taken from Poisoned enemies -15%,Viper's_,,
Skeleton Prisoner,Damage Taken from Blind enemies -15%,Lurker's_,,
Phendark,Damage Taken -15% while below half HP,Masochist's_,,
Failed Courage,Damage from Nightmares -15%. Damage from Melee -10%,Spineless_,,
Broken Vow,Damage from Nightmares -15%. Damage from Ranged -10%,Faithless_,,
Betrayed Trust,Damage from Nightmares -15%. Damage from Magic -10%,Traitorous_,,
Drosera,Damage from Slowed enemies -15%,_of Accel,,
Rachel Captain,Damage from Rachel Loyalists and Veins Rebels -40%,Field Commander's_,,
Veins Engineer,Support Unit Construction Level +2,Engineer's_,,
Solider,Barrier Amount Received +20%,_of Castling,,
Failed Foresight,Damage Taken from Slowed enemies -25%,Foreseen_,,
Snowier,Damage taken from Chilled enemies -15%,Frosty_,,
Bulgasari,Physical and Magical Damage Taken -30% while suffering from the Burning Status,Fire-Hardened_,,
Aliza,"Healing Power +10%, Barrier Potency +10%",_of Support,,
Lab Technician,Phys/Magical Damage to Formless +15%. Damage Taken from Formless -15%,Analyzer_,,
Crimson Banshee,Damage Taken from Burning Enemies -15%,Cinder_,,
Avatar of Despair,Breach Potency +15%. Damage from Breached enemies -15%,Inviolate_,,
Naga,Damage Taken from Earth Property enemies -20%,_of Dust,,
Petal,Damage Taken from Wind Property enemies -20%,_of Stillness,,
Glimmer of Dawn,Damage Taken from Holy Property enemies -20%,_of Denial,,
Scaraba Sentry,Damage Taken from Small enemies -20%,Miniature_,,
Scaraba Royal Guard,Summoned Entity HP +30%,_of Trust,,
Yggdrasil's Fist,Damage Taken from Brute/Plant/Formless -20%. Damage Taken from Nightmares -5%,Rootguard_,,
Vicious Doubt,Damage Taken from Ghost Property enemies -20%. Damage Taken from Nightmares -5%,_of Voodoo,,
Festering Grudge,Damage Taken from Undead Property enemies -20%. Damage Taken from Nightmares -5%,Re-dead_,,
Salvage Drone,Damage Taken from Neutral enemies -20%. Damage Taken from Nightmares -5%,Salvaged_,,
Unanswered Prayer,Damage Taken from Holy enemies -20%. Damage Taken from Nightmares -5%,_of Petition,,
Limacina,Damage Taken from Water Property enemies -20%,Dehydrating_,,
Rgan Outcast,Damage from Rgans -20%. Exuvic Blessing +1,_of Pure Body,,
