,,,,
Name,Effect,Prefix/Suffix,,
Savage Babe,Increase learned level of Nimbleness by 1.,Nimble_,,
Choco ,ASPD +3,_of Haste,,Champions are in Green
Wolf Packleader,Enables use of Reposition Lv 5,_of Ambush,,
Baby Desert Wolf,"Movement Speed +10%, Max HP -10%",Juvenile_,,
Sandman,Increase learned level of Improved Constitution by 1,_of Constitution,,
Soldier Piere,"Agi +2, Luk +2                                                Combo with 3 Soldiers: All Stats +3, Atk/Matk +5%, Damage taken -5%",_of Ares,,
Wild Rose,Movement Speed +5%,Light-footed_,,
Coco,HP Regeneration +25%,Well-fed_,,
Caramel,SP Regeneration +25%,Sweet-Tooth_,,
Earth Petite,"Max HP +10%, Move Speed -10%",Careful_,,
Giant Hornet,"Hit +10, Variable Cast Time -10%",_of Swarms,,
Bandit Overseer,"Str, Int, Dex +5 / Agi, Vit, Luk -5",Overwhelming_,,
Grove,Adds a chance of autocasting Reposition Lv1 when taking damage,_of Escape,,
Leopard,"Max SP +20%, Max HP -10%",Scheming_,,
Violet PItaya,"Agi +1, Flee +5",Fleeting_,,
Archdam,"Max SP +10%, SP Regen +50%",_or Recharge,,
Fulbuk,"Fire Resist +10%, Movement Speed -10%",Coalwalker's_,,
Blazing Nightmare,"Movement Speed +40%, Lose 5% of HP per second",_of Terror,,
Mimic,Variable Cast Time -10%,Nervous_,,
Verit,"SP Regen +50%, Potion Effectiveness -30%",Over-Stimulated_,,
Caterpillar,"Earth Resist +10%, Movement Speed -10%",Rooted_,,
Failed Prototype,"If STR > INT, Max SP +15% / Max HP -15%. If INT > STR, Max HP +15% / Max SP -15%",Mutating_,,
Rafflesia,"ASPD +2, ATK -5%",Hyperactive_,,
Yellow Novus,Burning Damage +1% per 3 Base Dex,_of Precise Burning,,
Faceworm Larva,"Poison Property Resist +10%, Movement Speed -10%",Swampwalker_,,
Faceworm,Poison Status damage +1% per 3 Base Str,_of Powerful Venom,,
Baby Octopus,Frost Blast Chill Duration +3s,Frost-Touched_,,
Marina,Frost Blast has a chance to inflict Slow,Goopy_,,
Deviace,"Frost Blast, Freezing Breath, Chilling Frost have a high chance to inflict Burning",_of Frostbite,,
Rideword,"Movement Speed +15%, Max HP -25%",_of Panic,,
Tomb Scarab,"Undead Property Resistance +10%, Movement Speed -10%",Gravewalker_,,
Sock Smokie,Movement Speed cannot be increased or reduced,Lock Step_,,
Cleaning Drone,"Atk/Matk +5%. Max HP/SP -10%. If equipped with Command Drone Card, penalty removed, All Stats +1",Commandeered_,,
Gargoyle,"Ranged Damage Taken -10%, Movement Speed -10%",Cautious_,,
Tainted Legacy,5% Chance to inflict Bleeding and Vulnerable when attacking. 5% Chance to autocast Rend Lv 5,Shredding_,,
Rock Borer,Hide autocasts Backslide,Tunneling_,,
Rock Spider,Movement Speed +5%. High Jump Cooldown -3s,Pouncing_,,
Freezer,"Water Property Resist +10%, Movement Speed -10%",Surfwalker_,,
Turtle Eater,"Slow Resist +30%, Slow Potency +30",Webwalker_,,
Hulking Doom,"Crit +10, Crit Damage +10%, Movement Speed -20%",Hulking_,,
Joyful Celebration,"Ghost Property Resistance +10%, Movement Speed -10%",Soulwalker_,,
Frozen Stallion,Chilled increases Movement Speed instead of reducing it,Frostrider_,,
Kasa,Movement Speed +5%. Burning Damage +5%,_of Searing Flight,,
Skogul,"Movement Speed +10%, Damage to Demon/Angel Race +5%, Damage Taken from All Sizes +10%",_of Apostasy,,
Agav,"SP Regen +30%, Variable Cast Time -10%",Driven_,,
Seeker,"Flat MDef Pierce +20, Fixed Cast Time -0.15s",_of Spell Crush,,
Rekember Investigator,"If Str/Agi/Vit are higher than Dex/Int/Luk, ASPD +3. If not, VCT -30%",Reflexive_,,
Shadow of Spite,"Matk +5%, VCT -30%, Non-Neutral Resist -15%",_of Spite,,
Shadow of Dread,"Atk +5%, Crit Rate +10, Neutral Resist -10%",_of Dread,,
Bird of Paradise,Wind Resist +10%. Movement Speed -10%,Windwalker_,,
Cornus,"Non-Neutral Resist +5%, High Jump Cooldown -3s",Winged_,,
Nepenthes,"Crit Rate +5, Poison Status Damage +10%",Stinger_,,
Miming,"Crit Rate +5, Bleeding Damage +10%",Ripper_,,
Dawn Sprite,"Holy Magic Damage +5%, VCT -10%",_of Prayer,,
Cruel Delight,Casting High Jump grants a shield that blocks the next incoming hit. High Jump CD +10s,_of Shadowstep,,
Memory of Authority,"For each level of Offertorium, Crit Rate +1.5. For each level of Austere Light, ASPD +0.5",_of Authority,,
Shadow of Resentment,"Crit +10, ASPD +5, Physical/Magical Damage to Nightmares +5%",_of Resentment,,
Icewind,Vulnerable Potency +10%. Doubled if Frostwind is equipped.,Aquiline_,,
Rgan Fallen,ASPD +5. Exuvic Blessing +1,Hollow Fang_,,
Jorgan Shadowkeeper,Movement Speed +10%. Exuvic Blessing +1,_of Toxic Shade,,
Cursed Honor Guard,"For each Refine: Crit +3, Max HP -1%",Haughty_,,
