,,,,,
Name,Slots,Def/Mdef,Effects,"Req, Level",Drops From
,,,,,
ARMORS,,,,,
Cotton Shirt,1,10/0,Max SP +25,1,"Smokie, Mandragora, Magnolia, Creamy"
Jacket,1,15/0,Max HP/SP +10,1,"Thara Frog, Condor, Hode, Andre, Elder Willow, Poporing, Yoyo, Thief Bug"
Adventurer's Suit,1,20/0,Max HP +25,1,"Tarou, Peco Peco, Bigfoot, Roda Frog"
Silver Robe,1,15/5,"Int +1, Max SP +50, Healing Power +8%",30,"Sohee, Blue Papilla, Whisper, Ghoul"
Pantie,1,15/0,"Agi +1, Dex +1, Flee +5",30,"Pirate Skeleton, Kukre, Soldier Andre, Archer Skeleton"
Wooden Mail,1,25/0,"Vit +1, Max HP +50, HP Regen +10%",30,"Savage, Alligator, Octopus Tentacle, Pot Dofle"
Saint's Robe,1,15/7,"Int +2, SP Consumption -10%",50,"Obeaune, Orc Lady, Dryad, Harpy, Isis, Marc, ???"
Thief Clothes,1,20/0,"Agi +2, Crit +5, Perfect Dodge +5",50,"Fur Seal, Bandit Enforcer, Orc Zombie, Baby Leopard, Tumblering, Verit, Sropho, ???"
Padded Armor,1,35/0,"Vit +3, Melee Damage Taken -5%",50,"Crab, High Orc, Beetle King, Swordfish, Pasana"
Formal Suit,1,20/10,"Int +2, Dex +2, Burn, Chill, Sleep Resist +15%",70,"Kaho, Lost Wizard, Noxious, Holden, Bathroy, Gaster"
Noble Suit,1,20/0,"Agi +2, Luk +2, Blind, Slow, Vulnerable Resist +15%",70,"Wootan Shooter, Explosion, Lost Assassin, Venomous, Toxic Mantis, Toxious"
Chain Mail,1,40/0,"Str +2, Vit +2, Bleed, Poison, Stun Resistance +15%",70,"Plateau Brute, Lost Knight, Ash Hopper, Metaling, Faceworm, Pitman"
Blessed Robe,1,20/15,"Int +2, Dex +2, Healing Power +3% per Refine",90,"Disguise, Hill Wind"
Ninja Suit,1,25/0,"Agi +2, Dex +2, Perfect Dodge +2 per Refine",90,"Galion, Rock Spider, Veins Silencer"
Full Plate,1,45/0,"Str +2, Vit +2, Melee Resist +1% per Refine",90,"Dullahan, Rachel Captain, Rockskin Toad, Solider"
Dragon Scale Plate,1,50/0,"Str/Vit +2, Melee Damage Taken -5%   Set Bonus: Max HP/SP +5%, +20: Max HP/SP +5%, Melee Damage Taken -5%",110,Abyss Lake
Infantry Mail,1,50/0,Bleeding Damage +1% per Refine    Set Bonus: Bleeding Damage Taken -1% per Refine,110,Glast Heim
Pariah's Cloth,1,30/0,"Def Pierce +30%, Max HP -15%         Set Bonus: At +20, Max HP +15%, Neutral Resist +10%, Flee +30, Movespeed +10%",110,Glast Heim
Apostle's Robe,1,25/20,"Magic Pierce +30%, Magic Attack -10%, Magic Attack +1% per Refine        Set Bonus: VCT -1% per Refine, FCT -0.1 per 10 Refines",110,Glast Heim
Gilded Robe,1,30/0,"Agi/Luk +2, Ranged Damage Taken -5%   Set Bonus: Max HP/SP +5%, At +20: Max HP/SP +5%, Ranged Damage Taken -5%",110,Glast Heim
Rekember Uniform,1,30/5,"Damage from Medium enemies -3%. If +7, Phys/Magic Damage to Medium enemies +3%",110,Somatology Laboratory
Black Sand Suit,1,30/5,"Bleeding Damage Taken -10%. If +7, additional -10%",110,Endless Desert
Snowflower Armor,1,30/10,"Chill Resist +20%, Water Property Resistance +5%    Set Bonus: Phys/Magic Damage to Water Property +1% per Refine",110,Ice Dungeon
Volcanic Armor,1,30/10,"Burning Resist +20%, Fire Property Resistance +5%   Set Bonus: Phys/Magic Damage to Fire Property +1% per Refine",110,Thor's Volcano
Archaeologist Suit,1,30/0,Max HP +100 per Refine. Max SP +10 per Refine    Set Bonus: Physical/Magical Attack increased by Max HP/SP,110,Verus Ruins
Hollow Plate,1,50/0,"All Stats -1. Max HP/SP +1% per Refine. Set Bonus: All Stats -1, All Race Resistance +10%",110,Opera House
Honor Guard Uniform,1,40/10,Vulnerable/Breach Potency Received -2% per Refine. Set Bonus: Gain Offensive Bonuses based on the Defensive Bonuses of the set,110,Thanatos Tower
