,,,,,
Name,Slots,ATK/MATK,Effects,Req. Level,"Drops From
(This list is not exhaustive)"
,,,,,
ONE-HANDED SWORDS,,,,,
Toy Sword,4,10/0,0.5 ASPD per Mastery. Str +1,1,"Tarou, Picky, Piere, Poring, Horn, Yoyo"
Falchion ,4,20/0,"2 Soft Def per Mastery. Vit +2, Max HP +50",30,"Soldier Deniro, Mace Goblin, Pirate Skeleton, Pot Dofle"
Scimitar,3,30/0,ASPD +1 per Mastery. Str +2. Provoke Cooldown -5s,50,"Bandit Cutthroat, High ooroc, Mummy, Swordfish"
Blade,3,40/0,"ASPD +1 per Mastery. Vit +2, HP Regen +1% per Vit",70,"Fulbuk, Demon Pungus, Sky Deleter"
Flamberge,3,50/0,"ASPD +1 per Mastery. Str +2, Vit +2, Melee Damage +1% per Refine",90,Rachel Infantry
Haedonggum,2,2,"ASPD +1 per Mastery, Vulnerable Potency +15%, if +4: Vuln Potency +10%, if +7: Max HP +10%",110,"Blue Acidus, Wanderer"
,,,,,
,,,,,
,,,,,
,,,,,
TWO-HANDED SWORDS,,,,,
Katana,4,50/0,Crit +2 per Mastery. Str +2,50,"Aqua Elemental, Bandit Enforcer, ???, Pasana"
Bastard Sword,3,70/0,Crit +2 per Mastery. Str +2. Remove FCT of Devastating Blow,70,"Plateau Brute, Lost Knight, Alarm"
Claymore,3,90/0,"Crit +2 per Mastery. Str +2, Luk +2, Melee Damage +1% per Refine",90,"Galion, Solider"
Katzbalger,2,110/0,"Crit Rate +2 per Mastery, Crit Damage +10%, if +4: Crit Damage +5%, if +7: Bleeding Damage +10%",110,"Raydric, Snowier"
,,,,,
ONE-HANDED SPEARS,,,,,
Javelin,4,35/0,Vulnerable Potency +2% per Mastery. Vit +1,50,"Mace Kobold, Beetle King, Phen, ???"
Spear,3,50/0,Vulnerable Potency +2% per Mastery. Dex +2. Reduces the Cooldown of Provoke by 2 Seconds,70,"Lost Crusader, Ash Hopper, Punk"
Pole Axe,3,65/0,"Vulnerable Potency +2% per Mastery. Str +2, Dex +2, Melee Damage +1% per Refine",90,"Hill Wind, Heater"
Duelling Spear,2,80/0,"Vulnerable Potency +2%, Melee Damage +10%, if +4: Melee Damage +5%, if +7: Crit Rate +20",110,"Green Ferus, Magmaring"
,,,,,
TWO-HANDED SPEARS,,,,,
Guisarme,4,50/0,Vulnerable Potency +3% per Mastery. Vit +2,50,"Megalodon, Goat, Leopard, Merman"
Partizan,3,70/0,"Vulnerable Potency +3% per Mastery. Str +2, Melee Resist +1% per Mastery",70,"Kaho, Bapho Jr, Faceworm"
Halberd,3,90/0,"Vulnerable Potency +3% per Mastery, Str +2, Vit +2, Melee Damage +1% per Refine",90,"Gibbet, Rock Spider"
Lance,2,110,"Vulnerable Potency +3% per Mastery, Melee Damage +10%, if +4: Melee Damage +5%, if +7: Damage from All Sizes -10%",110,"Khalitzburg, Salamander"
,,,,,
ONE-HANDED AXES,,,,,
Toy Axe,4,15/0,ASPD +0.5 per Mastery. Str +1,1,"Ambernite, Baby Deset Wolf, Desert Wolf, Wormtail, Wolf, Rocker, Savage"
