,,,,,
Name,Slots,Def/Mdef,Effects,"Req, Level",Drops From
,,,,,
ARMORS,,,,,
White Tiger Armor,1,25/10,Atk/Matk against Earth property +10%,30,Eddga
Desert Leather Robe,1,15/5,Earth and Fire Resist +5%                               Combo with Full Set: Atk/Matk vs Earth and Fire +15%,30,Phreeoni
Captain's Overcoat,1,20/0,"Water Resist +30%, Chill Resist +30%",30,Drake
Ebon Armor,1,20/0,"Blind Potency +5, Blind Potency Received -5                       Combo with Boots: Blind Resist +30%",30,Kublin
Sacred Vestments,1,20/10,Demon/Undead Resist +10%. Dark/Undead Resist +10%,50,Pharaoh
Assault Armor,1,40/10,"Atk +5%, Max SP -20%",70,Captain Sweety
Corrupted Chain Mail,1,45/0,"All Stats +1, Fire/Water/Earth/Wind Resist +5%  /  Dark, Undead, Ghost, Holy Resist -5%            Set Bonus",70,Nightmare Pitaya
Faceworm Scale Armor,1,20/10,For every 5 Agi: Max HP +1%. For every 10 Agi: ASPD -1,70,Faceworm Queen
Living Bone Armor,1,30/0,Autocast Blood Drain Lv1 when taking damage / Holy and Fire Resist -30%,70,Orc Necromancer
Gaia Plate,1,35/10,Earth and Wind Resist +30%  /  Fire and Water Resist -30%,70,Wootan Defender
Deep Sea Plate,1,35/10,Fire and Water Resist +30% / Earth and Wind Resist -30%,70,Kraken
Lifespring Mail,1,50/0,Recover 500 HP every 10 seconds. SP Recovery -50%,90,RSX-0806
Juperos Mail,1,30/0,"Max HP/SP +10%         Set Bonus: Max HP/SP +5%, Fire/Water/Wind/Earth Resist +5%, Move Speed +5%",90,Vesper
World Serpent Robe,1,25/20,"Matk +3%. At +4, Matk +3%. At +7, Matk +4%",90,Avatar of the Serpent
Fallen Hero's Armor,1,55/0,Max HP +30%. Damage from all Elements +30%,110,Lord of the Dead
Legion Plate Armor,1,55/0,Damage from All Sizes -10%. Move Speed -5%. Move Speed is locked.,110,Bloody Knight
Underworld's Dream,1,25/25,Max HP +5% per Refine. Potion Effectiveness -50%,110,Dark Lord
Diabolus Armor,1,50/0,"Str/Vit +3. For each Diabolus item equipped, Crit +5, Crit Pierce +5%",110,Morroc's Shadow
Diabolus Robe,1,25/25,"Int/Dex +3. For each Diabolus item equipped, VCT -5%, Mdef Pierce +5%",110,Morroc's Shadow
Naga Scale Armor,1,30/0,"For each Refine, Crit +1, Crit Pierce +1%. If +7, additional Crit +5/Crit Pierce +5%",130,Tendrilion
Excellion Suit,1,60/0,Healing Received +10%. Barriers Received +10%,130,Final Defense Drone
Armor of the Ancients,1,60/0,"Phys and Magic Damage to All Sizes +1% per Refine. Damage from All Sizes +1% per Refine. If +7, Def/Mdef Pierce 10%",130,Ancient Temple Excavation
Siege Master Plate,1,40/10,"Physical Damage to All Sizes +10%, -2% per Refine. For each Refine over 5, Damage from All Sizes -2%. If exactly +5, Physical Damage to All Sizes +5%, Damage from All Sizes -5%",130,Castle Siege
,,,,,
GARMENTS,,,,,
,,,,,
,,,,,
Insect Wing Manteau,1,10/0,"Backslide level +1, High Jump level +1",30,Maya
Phoenix Cloak,1,15/10,"-10% damage from Fire property, -10% damage from Fire monsters",30,Eddga
Ancient Cape,1,10/5,"Enables Hiding Lv 1, Hiding has a chance to cast Blinding Pulse",30,Dracula
Desert Leather Cloak,1,10/5,Earth and Fire Resist +5%,30,Phreeoni
Giant Snake Skin,1,20/5,Poison Property Resistance +10% / Damage from Poison Property Enemies -10%,50,Guardian Serpent
Grave Cloak,1,10/10,Dark and Undead Resist +30% / Holy and Fire Resist -30%,70,Orc Necromancer
Corrupted Muffler,1,20/10,"All Stats +1, Fire/Water/Earth/Wind Resist +5%  /  Dark, Undead, Ghost, Holy Resist -5%            Set Bonus",70,Nightmare Pitaya
Magma Manteau,1,20/10,"Burning Damage +10%, Burning Damage Taken -10%, Magic pierces Fire Resistance",70,Pyuriel
Cultist's Cloak,1,20/10,Poison Property Resistance +10%. Poison Status damage taken -10%.,70,False Snake God
Juperos Wing,1,20/10,Fire/Water/Wind/Earth Resist +10%,90,Vesper
