,,,,,,,,,,,
,Physical Weapons (4 Slots),,,,Armor / Shields (Level 1~30),,,,Shoes (Level 1~30),,
,,,,,,,,,,,
,Slot 1,Slot 2,Slot 3,,Slot 1,Slot 2,Slot 3,,Slot 1,Slot 2,Slot 3
,Str +1,Atk +1~5%,Damage to [Size] +1~5%,,Str +1,Max HP +1~3%,Small Resistance +1~6%,,Str +1,HP Regen +1~10%,Def Pierce +1~10%
,Agi +1,Hit +1~10,,,Agi +1,Max SP +1~3%,Medium Resistance +1~6%,,Agi +1,SP Regen +1~10%,MDef Pierce +1~10%
,Int +1,Crit +1~5,,,Int +1,Hard Defense +1~10,Large Resistance +1~6%,,Int +1,Crit Rate +1~5,Bleed/Poison/Burn Damage Taken -1~10%
,Vit +1,Crit Damage +1~5%,Slot 4 (2h Weapons Only),,Vit +1,,All Size Resistance +1~3%,,Vit +1,VCT -1~5%,Movement Speed +1~5%
,Dex +1,ASPD +1,Damage Taken from [Size] -1~5%,,Dex +1,MVP Armors drop at one Level Tier above their Requirements,,,Dex +1,MVP Shoes drop at one Level Tier above their Requirements,
,Luk +1,Bleeding Damage +1~10%,Damage Taken from All Sizes -1~3%,,Luk +1,,,,Luk +1,,
,,Poison Damage +1~10%,,,,,,,,,
,,,,,,,,,,,
,Physical Weapons (3 Slots),,,,Armor / Shields (Level 50~90),,,,Shoes (Level 50~90),,
,,,,,,,,,,,
,Slot 1,Slot 2,Slot 3,,Slot 1,Slot 2,Slot 3,,Slot 1,Slot 2,Slot 3
,Str +1~2,Atk +1~8%,Damage to [Size] +1~10%,,Str +1~2,Max HP +1~6%,Small Resistance +1~8%,,Str +1~2,HP Regen +1~20%,Def Pierce +1~15%
,Agi +1~2,Hit +1~15,,,Agi +1~2,Max SP +1~6%,Medium Resistance +1~8%,,Agi +1~2,SP Regen +1~20%,MDef Pierce +1~15%
,Int +1~2,Crit +1~8,,,Int +1~2,Hard Defense +1~20,Large Resistance +1~8%,,Int +1~2,Crit Rate +1~8,Bleed/Poison/Burn Damage Taken -1~15%
,Vit +1~2,Crit Damage +1~10%,Slot 4 (2h Weapons Only),,Vit +1~2,,All Size Resistance +1~4%,,Vit +1~2,VCT -1~8%,Movement Speed +1~8%
,Dex +1~2,ASPD +1~2,Damage Taken from [Size] -1~10%,,Dex +1~2,MVP Armors and Shields drop at one Level Tier above their Requirements,,,Dex +1~2,MVP Shoes drop at one Level Tier above their Requirements,
,Luk +1~2,Bleeding Damage +1~15%,Damage Taken from All Sizes -1~5%,,Luk +1~2,,,,Luk +1~2,,
,,Poison Damage +1~15%,,,,,,,,,
