,,,,,,,
Black Ops,,,,,,,Geffenia
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
8214 3652,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Taekwon Do,,,,,,,
1 mission: Kill Moonlight Flower & Dracula,,,,,,,
2 mission: Kill Goblin King & Osiris,,,,,,,
3 mission: Kill Pharaoh & Kraken,,,,,,,
4 mission: Kill Captain Sweety & Pyuriel,,,,,,,
"5 mission: Kill Rogue Prototype, Faceworm Queen & RSX-0806",,,,,,,
