Champion,Location,Item
Witch of the Deep,beach_dun,Shining Scale
Stalactic Golem,beach_dun2,Golem Core
Megalith,beach_dun3,Megalith Shard
Anolian,cmd_fild03,Red Scarf
Sea Otter,cmd_fild04,Sea-Otter Fur
Chimera,cmd_fild05,Citrin
Bandit Overseer,cmd_fild07,Encrypted Orders lll
Bandit Plaguebearer,cmd_fild08,Encrypted Orders ll
Bandit Instigator,cmd_fild09,Encypted Orders l
Zombie Master,gef_dun01,Memento
Mini Demon,gef_dun02,Contract in Shadow
Orc Baby,gef_fild10,Nursing Bottle
Kobold Archer,gef_fild12,Steel Ore
Orc Hero,gef_fild14,Orc Trophy
Grand Peco,moc_fild02,Shining Diamond
Vagabond Wolf,moc_fild03,Topaz
Mastering,pay_fild04,Large Jellopy
Am Mut,pay_fild10,Sardonyx
Creamy Fear,prt_fild04,Amethyst
Vocal,prt_fild09,Emerald
Gullinbursti,prt_fild10,Ruby
Bloody Butterfly,um_fild01,Giant Butterfly Wing
Wooden Golem,um_fild02,Wooden Heart
Angeling,yuno_fild03,Angelic Feather
Plateau Colossus,yuno_fild05,Living Stone
Sleeper,moc_fild16,Glittering Diamond
Driller,moc_fild17,Sparkling Diamond
Stone Shooter,um_dun01,Enchanted Log
Dragon Fly,gef_fild08,Aquamarine
Taffy,gef_fild03,Sandpaper
Antonio,xmas_dun02,Red Stocking
Chepet,xmas_dun01,Matchstick
