,,,,,,,,,
,,,,843 esquerda ate chegar no 544,,,,avatar of agony,moc_fild648 e 753
,,,,544 leste ate chegar 198,,,,avatar of sorrow,moc_fild339 e 198
,,,,198 norte ate chegar 696,,,,avatar of hatred,moc_fild454 e 912
,,,,696 leste para 999,,,,avatar of despair,moc_fild308 e 648
,,,,,,,,,
,,,,,,,,,
,,,,Endless Desert (Moc_fildxxx),,,,,
,,,,Where,Oeste,Leste,Norte,Sul,
,,,,544,201,198,339,114,
,,,,198,582,843,114,201,
Layer 1,,,,582,544,114,201,843,
Layer 2,,,,114,201,843,178,582,
Layer 3,,,,201,843,312,582,114,
Layer 4,,,,312,843,648,582,339,
Layer 5,,,,843,201,582,114,18,
,,,,178,843,582,198,753,
,,,,753,,454,696,,
,,,,696,,999,648,198,
,,,,18,648,114,198,582,
,,,,648,843,582,201,114,
,,,,339,,,308,696,
,,,,308,,,,18,
,,,,454,582,,,,
,,,,999,696,-,-,-,
