1:Interagir com o Portao de metal no spot 3 de thor_v03.

2:Conversar com Rafeek no workshop de veins

















"3: Ir no black market e falar com o Information Dealer pedindo informação sobre o portão de metal em thor, pagar 100 Mysterious Card."
4: Conversar novamente com Rafeek
"5: Conversar com o Smuggler no Black Market, ele irá te pedir alguns itens."









"6: Fale novamente com Rafeek, ele irá lhe entregar a chave para o portao em thor_v03 para ter acesso a Challenge Dungeon de Thor."
